Product Id,Sector,Cog,Distance,Export,Pci
835,Vegetables_foodstuff_and_wood,0.1036,0.8326,1386853587,0.0612
834,Vegetables_foodstuff_and_wood,0.0303,0.861,455545015,-0.3253
833,Vegetables_foodstuff_and_wood,-0.1085,0.8307,31939015402,-0.9113
829,Vegetables_foodstuff_and_wood,0.0597,0.818,35344296352,0.1676
828,Vegetables_foodstuff_and_wood,-0.005,0.8093,3353776222,-0.231
824,Vegetables_foodstuff_and_wood,-0.1173,0.803,8119932904,-0.8028
822,Vegetables_foodstuff_and_wood,-0.2429,0.794,14160434114,-1.1586
821,Vegetables_foodstuff_and_wood,-0.1153,0.7986,2908190008,-0.5437
819,Vegetables_foodstuff_and_wood,-0.1725,0.7981,9741954381,-0.8576
818,Vegetables_foodstuff_and_wood,0.1292,0.8601,7497645399,-0.1308
817,Vegetables_foodstuff_and_wood,0.203,0.8851,1018512364,0.5162
815,Vegetables_foodstuff_and_wood,-0.1884,0.7985,1868724239,-0.8137
813,Vegetables_foodstuff_and_wood,-0.0492,0.8058,5938274063,-0.2967
812,Vegetables_foodstuff_and_wood,-0.2069,0.8109,87902259,-1.6064
811,Vegetables_foodstuff_and_wood,-0.1821,0.7975,8334607390,-1.2974
810,Vegetables_foodstuff_and_wood,0.0245,0.8151,18891394632,-0.2364
809,Vegetables_foodstuff_and_wood,0.0583,0.8189,26070852551,-0.0622
808,Vegetables_foodstuff_and_wood,0.0548,0.8529,2527990149,-0.6433
807,Vegetables_foodstuff_and_wood,-0.0641,0.8302,5438067753,-1.4472
806,Vegetables_foodstuff_and_wood,0.111,0.8497,3689765869,-0.5259
805,Vegetables_foodstuff_and_wood,-0.1053,0.8108,46662674,-2.0557
803,Vegetables_foodstuff_and_wood,-0.1401,0.7927,10619339497,-0.6992
802,Vegetables_foodstuff_and_wood,-0.239,0.7696,945168152,-1.428
801,Vegetables_foodstuff_and_wood,0.0951,0.8485,5931152279,0.2226
799,Vegetables_foodstuff_and_wood,-0.2041,0.8224,9207673843,-1.2403
798,Vegetables_foodstuff_and_wood,-0.2241,0.7965,14123240974,-1.5018
797,Vegetables_foodstuff_and_wood,0.0706,0.8614,249536876,-0.2174
796,Vegetables_foodstuff_and_wood,0.0554,0.8189,14237294345,0.0239
795,Vegetables_foodstuff_and_wood,0.0874,0.8205,4312881026,0.2593
794,Vegetables_foodstuff_and_wood,-0.0865,0.8241,108370989,-0.6162
792,Vegetables_foodstuff_and_wood,0.0409,0.8475,1219548747,-0.0947
791,Vegetables_foodstuff_and_wood,-0.0112,0.8638,7810010938,-0.6549
790,Vegetables_foodstuff_and_wood,-0.0122,0.8303,2343614102,-0.2582
789,Vegetables_foodstuff_and_wood,-0.1743,0.7873,5047333182,-0.8727
787,Vegetables_foodstuff_and_wood,-0.1297,0.8086,3997029856,-0.7366
786,Vegetables_foodstuff_and_wood,0.1265,0.8404,6506875396,0.3013
785,Vegetables_foodstuff_and_wood,-0.1449,0.8203,6631189216,-1.8827
782,Vegetables_foodstuff_and_wood,-0.0842,0.8534,405963284,-0.935
781,Vegetables_foodstuff_and_wood,-0.113,0.8481,7248450697,-1.0827
778,Vegetables_foodstuff_and_wood,0.2956,0.8663,323386410,0.7042
777,Vegetables_foodstuff_and_wood,0.2115,0.8655,196886286,0.2719
