code,id
9703,1887
9701,1885
9612,1878
9506,1864
9503,1861
9209,1845
9207,1843
9114,1836
9113,1835
9111,1833
9108,1830
9105,1827
9101,1823
9031,1820
9030,1819
9020,1809
9019,1808
9018,1807
9013,1802
9010,1799
9006,1795
9005,1794
9004,1793
9003,1792
9002,1791
9001,1790
8803,1779
8714,1774
8711,1771
8706,1766
8548,1751
8543,1746
8542,1745
8541,1744
8540,1743
8534,1737
8533,1736
8532,1735
8531,1734
8529,1732
8528,1731
8527,1730
8526,1729
8525,1728
8523,1726
8522,1725
8521,1724
8519,1722
8518,1721
8517,1720
8516,1719
8513,1716
8509,1712
8507,1710
8505,1708
8484,1702
8473,1691
8472,1690
8471,1689
8470,1688
8447,1665
8443,1661
8442,1660
8440,1658
8423,1641
8415,1633
8211,1603
8101,1580
7410,1526
7227,1488
7221,1482
7020,1443
7018,1441
7006,1429
7004,1427
6903,1412
6601,1388
6506,1386
6215,1362
6116,1346
5403,1271
5402,1270
5007,1232
4909,1223
4015,1134
3903,1096
3818,1088
3505,1055
3503,1053
2826,943
2519,869
2304,842
1518,790
1201,753
8411,1629
3907,1100
4202,1149
9613,1879
