id,sector,x,y
822,Vegetables_foodstuff_and_wood,2457,2488
821,Vegetables_foodstuff_and_wood,2387,2479
819,Vegetables_foodstuff_and_wood,2448,2459
818,Vegetables_foodstuff_and_wood,1689,2675
817,Vegetables_foodstuff_and_wood,1062,2133
816,Vegetables_foodstuff_and_wood,2460,2825
815,Vegetables_foodstuff_and_wood,2435,2368
814,Vegetables_foodstuff_and_wood,2385,2446
813,Vegetables_foodstuff_and_wood,2184,2521
811,Vegetables_foodstuff_and_wood,2871,2456
810,Vegetables_foodstuff_and_wood,2337,2517
809,Vegetables_foodstuff_and_wood,2382,2369
808,Vegetables_foodstuff_and_wood,2849,2235
807,Vegetables_foodstuff_and_wood,2818,2258
806,Vegetables_foodstuff_and_wood,2808,2209
804,Vegetables_foodstuff_and_wood,2806,2293
803,Vegetables_foodstuff_and_wood,2440,2429
801,Vegetables_foodstuff_and_wood,1791,2674
800,Vegetables_foodstuff_and_wood,2502,2219
799,Vegetables_foodstuff_and_wood,2103,2888
798,Vegetables_foodstuff_and_wood,2135,2820
796,Vegetables_foodstuff_and_wood,2254,2510
795,Vegetables_foodstuff_and_wood,2209,2424
792,Vegetables_foodstuff_and_wood,1075,2178
791,Vegetables_foodstuff_and_wood,1061,2215
790,Vegetables_foodstuff_and_wood,1338,2798
789,Vegetables_foodstuff_and_wood,2406,2547
788,Vegetables_foodstuff_and_wood,2409,2619
787,Vegetables_foodstuff_and_wood,2627,2729
786,Vegetables_foodstuff_and_wood,2001,2644
785,Vegetables_foodstuff_and_wood,2879,2268
784,Vegetables_foodstuff_and_wood,2269,2669
783,Vegetables_foodstuff_and_wood,2891,2235
781,Vegetables_foodstuff_and_wood,2644,2873
779,Vegetables_foodstuff_and_wood,2652,2837
776,Vegetables_foodstuff_and_wood,2119,2940
774,Vegetables_foodstuff_and_wood,2057,2747
768,Vegetables_foodstuff_and_wood,2165,2608
766,Vegetables_foodstuff_and_wood,1316,1806
764,Vegetables_foodstuff_and_wood,2820,2764
763,Vegetables_foodstuff_and_wood,2613,2364
761,Vegetables_foodstuff_and_wood,2482,2676
760,Vegetables_foodstuff_and_wood,2680,2861
759,Vegetables_foodstuff_and_wood,2451,2184
758,Vegetables_foodstuff_and_wood,2277,2639
757,Vegetables_foodstuff_and_wood,1983,2673
754,Vegetables_foodstuff_and_wood,2834,2709
753,Vegetables_foodstuff_and_wood,1459,2538
751,Vegetables_foodstuff_and_wood,2177,2737
750,Vegetables_foodstuff_and_wood,1931,2591
747,Vegetables_foodstuff_and_wood,2388,2555
746,Vegetables_foodstuff_and_wood,2120,2603
744,Vegetables_foodstuff_and_wood,2475,2259
742,Vegetables_foodstuff_and_wood,2029,2744
741,Vegetables_foodstuff_and_wood,2863,2716
740,Vegetables_foodstuff_and_wood,2245,2675
738,Vegetables_foodstuff_and_wood,1976,2705
736,Vegetables_foodstuff_and_wood,1970,2745
735,Vegetables_foodstuff_and_wood,2713,2416
729,Vegetables_foodstuff_and_wood,2033,2891
727,Vegetables_foodstuff_and_wood,2843,2749
726,Vegetables_foodstuff_and_wood,2010,2905
724,Vegetables_foodstuff_and_wood,2524,2827
722,Vegetables_foodstuff_and_wood,2427,2395
721,Vegetables_foodstuff_and_wood,2471,2627
720,Vegetables_foodstuff_and_wood,2558,2789
719,Vegetables_foodstuff_and_wood,2535,2856
718,Vegetables_foodstuff_and_wood,2426,2611
717,Vegetables_foodstuff_and_wood,2496,2819
716,Vegetables_foodstuff_and_wood,2485,2958
715,Vegetables_foodstuff_and_wood,2446,2570
714,Vegetables_foodstuff_and_wood,1984,2921
713,Vegetables_foodstuff_and_wood,2337,2671
712,Vegetables_foodstuff_and_wood,2804,2331
711,Vegetables_foodstuff_and_wood,1943,2948
710,Vegetables_foodstuff_and_wood,2454,2745
709,Vegetables_foodstuff_and_wood,2550,2757
707,Vegetables_foodstuff_and_wood,2536,2698
706,Vegetables_foodstuff_and_wood,2434,2502
705,Vegetables_foodstuff_and_wood,2482,2595
704,Vegetables_foodstuff_and_wood,2559,2946
703,Vegetables_foodstuff_and_wood,2619,2867
702,Vegetables_foodstuff_and_wood,2622,2829
701,Vegetables_foodstuff_and_wood,2588,2826
700,Vegetables_foodstuff_and_wood,2519,2779
699,Vegetables_foodstuff_and_wood,2570,2869
698,Vegetables_foodstuff_and_wood,2391,2921
697,Vegetables_foodstuff_and_wood,2020,2853
696,Vegetables_foodstuff_and_wood,2913,2172
695,Vegetables_foodstuff_and_wood,2595,2941
694,Vegetables_foodstuff_and_wood,2011,2827
693,Vegetables_foodstuff_and_wood,2134,2732
686,Vegetables_foodstuff_and_wood,2179,2800
681,Vegetables_foodstuff_and_wood,2598,2146
679,Vegetables_foodstuff_and_wood,2183,2226
678,Vegetables_foodstuff_and_wood,2283,2467
677,Vegetables_foodstuff_and_wood,2017,2672
676,Vegetables_foodstuff_and_wood,2091,2681
675,Vegetables_foodstuff_and_wood,2111,2473
674,Vegetables_foodstuff_and_wood,2351,2552
673,Vegetables_foodstuff_and_wood,2206,2505
672,Vegetables_foodstuff_and_wood,2090,2856
671,Vegetables_foodstuff_and_wood,2055,2874
670,Vegetables_foodstuff_and_wood,2098,2820
669,Vegetables_foodstuff_and_wood,2097,2768
668,Vegetables_foodstuff_and_wood,2061,2773
667,Vegetables_foodstuff_and_wood,2057,2834
666,Vegetables_foodstuff_and_wood,2153,2893
665,Vegetables_foodstuff_and_wood,1705,2624
663,Vegetables_foodstuff_and_wood,2092,2720
662,Vegetables_foodstuff_and_wood,1625,2678
661,Vegetables_foodstuff_and_wood,2153,2744
659,Vegetables_foodstuff_and_wood,2525,2945
658,Vegetables_foodstuff_and_wood,1694,2580
657,Vegetables_foodstuff_and_wood,2053,2713
656,Vegetables_foodstuff_and_wood,2169,2695
654,Vegetables_foodstuff_and_wood,2201,2576
653,Vegetables_foodstuff_and_wood,2318,2771
652,Vegetables_foodstuff_and_wood,1676,2661
651,Vegetables_foodstuff_and_wood,2153,2519
650,Vegetables_foodstuff_and_wood,2075,2745
1788,Transport_vehicles,1722,1937
1787,Transport_vehicles,1863,2683
1786,Transport_vehicles,2045,2037
1785,Transport_vehicles,2795,2431
1784,Transport_vehicles,2034,2422
1783,Transport_vehicles,2010,2751
1782,Transport_vehicles,1942,2121
1781,Transport_vehicles,1330,1970
1779,Transport_vehicles,1276,2860
1778,Transport_vehicles,1710,2841
1776,Transport_vehicles,2237,2478
1775,Transport_vehicles,2768,2791
1774,Transport_vehicles,1331,2748
1773,Transport_vehicles,1266,1883
1772,Transport_vehicles,2093,2004
1771,Transport_vehicles,1312,2783
1770,Transport_vehicles,1689,2745
1769,Transport_vehicles,1829,2565
1768,Transport_vehicles,1819,2368
1767,Transport_vehicles,1656,2491
1766,Transport_vehicles,1426,2682
1765,Transport_vehicles,2140,2240
1764,Transport_vehicles,1788,2416
1763,Transport_vehicles,1951,2405
1762,Transport_vehicles,2138,2103
1761,Transport_vehicles,1814,2442
1760,Transport_vehicles,2095,2460
1758,Transport_vehicles,1873,2504
1757,Transport_vehicles,1858,2642
1756,Transport_vehicles,1652,2517
1755,Transport_vehicles,1517,2840
1754,Transport_vehicles,1596,2572
1753,Transport_vehicles,1837,2665
1752,Transport_vehicles,1810,2640
1890,Textiles_and_furniture,2436,2790
1887,Textiles_and_furniture,1277,2778
1885,Textiles_and_furniture,1252,2833
1858,Textiles_and_furniture,2235,2369
1857,Textiles_and_furniture,1888,2301
1856,Textiles_and_furniture,2554,2286
1855,Textiles_and_furniture,2298,2439
1854,Textiles_and_furniture,1512,2208
1853,Textiles_and_furniture,2051,2358
1394,Textiles_and_furniture,2768,2924
1392,Textiles_and_furniture,2810,2882
1388,Textiles_and_furniture,1397,2692
1386,Textiles_and_furniture,1317,2654
1385,Textiles_and_furniture,2695,2677
1380,Textiles_and_furniture,2666,2314
1379,Textiles_and_furniture,2549,2360
1378,Textiles_and_furniture,2710,2607
1377,Textiles_and_furniture,2679,2512
1376,Textiles_and_furniture,2716,2656
1373,Textiles_and_furniture,2133,2644
1371,Textiles_and_furniture,2616,2230
1370,Textiles_and_furniture,2667,2133
1369,Textiles_and_furniture,2530,2434
1368,Textiles_and_furniture,2583,2288
1367,Textiles_and_furniture,2639,2190
1366,Textiles_and_furniture,2647,2505
1365,Textiles_and_furniture,2745,2558
1364,Textiles_and_furniture,2625,2476
1362,Textiles_and_furniture,1350,2761
1361,Textiles_and_furniture,2043,1877
1359,Textiles_and_furniture,2731,2404
1358,Textiles_and_furniture,2636,2339
1357,Textiles_and_furniture,2698,2401
1356,Textiles_and_furniture,2727,2441
1355,Textiles_and_furniture,2562,2420
1354,Textiles_and_furniture,2606,2517
1353,Textiles_and_furniture,2708,2370
1352,Textiles_and_furniture,2686,2464
1351,Textiles_and_furniture,2679,2384
1350,Textiles_and_furniture,2585,2349
1349,Textiles_and_furniture,2532,2405
