distance,export_rca,export_value,import_value,location_id,id,year
0.7566,29.4763,92285648,440723,239,1423,2004
0.7601,29.4473,9152787,546151,239,1575,2001
0.6631,29.3971,1190382336,196168512,239,729,2014
0.7004,29.3403,1118326528,3391611,239,1378,2007
0.7604,29.3217,105129896,1338506,239,1423,2005
0.652,29.3106,858053184,144491120,239,729,2013
0.7479,29.1827,671499904,11082099,239,741,2003
0.741,29.174,25267184,7697117,239,1147,2010
0.7465,29.109,2781974,1671,239,1381,2003
0.6966,29.1002,55240856,3549,239,712,1997
0.6543,28.9222,726584448,179716688,239,729,2012
0.6539,28.8929,953426752,22785226,239,671,2001
0.6904,28.8256,365689472,2887846,239,672,2001
0.7156,28.5791,29045170,9867907,239,1229,2007
0.7194,28.5584,6053092,14524,239,682,1997
0.6519,28.5124,981248320,62900088,239,671,2002
0.6648,28.3379,5046633,27113,239,731,1996
0.7311,28.2941,164192592,749640,239,1348,1995
0.7293,28.2583,518048032,1284446,239,1376,1999
0.7254,28.1119,447619584,2590678,239,1376,1997
0.6936,28.0581,11757973,2233370,239,769,2001
0.817,27.8952,1527257,2708,239,1162,1999
0.7199,27.7424,269986144,8502662,239,1348,1997
0.7158,27.6785,2641827072,42378200,239,741,2009
0.7249,27.6023,1407913984,19300248,239,741,2007
0.7179,27.5027,5369686,1888002,239,690,2001
0.7046,27.4465,14291667,3771082,239,1363,1995
0.6762,27.3867,6406972,0,239,1262,2000
0.6894,27.3673,668209024,866506,239,726,1998
0.829,27.2859,6146820,1402546,239,1123,2000
0.7194,27.1272,279326880,2776629,239,1348,1999
0.6759,27.0687,601538304,1520436,239,726,1999
0.7088,26.8538,811504448,675458,239,1376,2001
0.719,26.6939,260085952,8003200,239,1348,1998
0.6559,26.6402,157966544,16823080,239,711,2008
0.7169,26.5475,3594895,160416,239,812,2005
0.7662,26.4974,153115248,271663,239,1378,1995
0.6426,26.4436,66612844,114177,239,1331,2003
0.8245,26.4346,4553903,278614,239,1123,1999
0.7345,26.2748,1881592,99969,239,812,2001
0.7114,26.2063,403491840,1126753,239,726,1996
0.6461,26.1492,114395864,413977,239,1184,2004
0.6371,26.0817,52597932,114774,239,711,2003
0.6122,26.0171,24977572,22245,239,1262,2007
0.6732,25.8294,2068791040,1028273600,239,712,2015
0.6534,25.8211,1137230720,94085536,239,671,2004
0.6883,25.8065,3510928896,47960096,239,741,2011
0.6785,25.647,141158208,24118252,239,1251,2010
0.7512,25.6387,130769392,807807,239,672,1995
0.7475,25.6131,59683008,477954,239,1423,2002
0.5436,25.424,51777104,188490,239,1589,2010
